Total_Accidents,Total_Release_BBLS,Total_Recovered_BBLS,Avg_Prop_Damage,Avg_Env_Damage,Total_Fatalities,Total_Injuries,Operational_Rigs,Distillation_Capacity,Refinery_Inputs,%_Utilization_of_Refinery_Operable_Capacity,Date,%_Utilization_of_Refinery_Operable_Capacity_lag1,%_Utilization_of_Refinery_Operable_Capacity_lag3,%_Utilization_of_Refinery_Operable_Capacity_lag6,%_Utilization_of_Refinery_Operable_Capacity_lag12,Refinery_Inputs_lag1,Refinery_Inputs_lag3,Refinery_Inputs_lag6,Refinery_Inputs_lag12,Total_Accidents_lag1,Total_Accidents_lag3,Total_Accidents_lag6,Total_Accidents_lag12,%_Utilization_of_Refinery_Operable_Capacity_roll3_mean,%_Utilization_of_Refinery_Operable_Capacity_roll3_sum,%_Utilization_of_Refinery_Operable_Capacity_roll6_mean,%_Utilization_of_Refinery_Operable_Capacity_roll6_sum,%_Utilization_of_Refinery_Operable_Capacity_roll12_mean,%_Utilization_of_Refinery_Operable_Capacity_roll12_sum,Total_Accidents_roll3_mean,Total_Accidents_roll3_sum,Total_Accidents_roll6_mean,Total_Accidents_roll6_sum,Total_Accidents_roll12_mean,Total_Accidents_roll12_sum,Total_Release_BBLS_roll3_mean,Total_Release_BBLS_roll3_sum,Total_Release_BBLS_roll6_mean,Total_Release_BBLS_roll6_sum,Total_Release_BBLS_roll12_mean,Total_Release_BBLS_roll12_sum,Operational_Rigs_roll3_mean,Operational_Rigs_roll3_sum,Operational_Rigs_roll6_mean,Operational_Rigs_roll6_sum,Operational_Rigs_roll12_mean,Operational_Rigs_roll12_sum,target_utilization_pct
33,7164.19,368.33,79666.75757575757,9107.727272727272,0,0,1409.0,17400.0,15248.0,87.6,2012-09-01,91.1,92.5,85.6,88.7,15679.0,15983.0,14783.0,15735.0,30.0,27.0,34.0,26.0,92.03333333333335,276.1,89.81666666666666,538.9,88.175,1058.1,28.0,84.0,30.666666666666668,184.0,29.333333333333332,352.0,4031.8366666666666,12095.51,3118.1783333333333,18709.07,5702.8975,68434.77,1417.0,4251.0,1376.6666666666667,8260.0,1264.25,15171.0,87.1
24,1593.45,1396.46,58949.41666666666,36667.5,0,0,1407.0,17402.0,15153.0,87.1,2012-10-01,87.6,92.5,86.6,84.9,15248.0,15991.0,14952.0,15050.0,33.0,27.0,38.0,29.0,90.39999999999999,271.2,90.14999999999999,540.9,88.08333333333333,1057.0,30.0,90.0,30.5,183.0,29.916666666666668,359.0,4981.923333333333,14945.77,3931.093333333333,23586.559999999998,5063.889166666667,60766.67,1417.0,4251.0,1393.6666666666667,8362.0,1293.0833333333333,15517.0,88.6
34,2318.61,2061.48,119307.5294117647,228673.14705882352,0,0,1385.0,17408.0,15416.0,88.6,2012-11-01,87.1,91.1,90.6,87.0,15153.0,15679.0,15657.0,15426.0,24.0,30.0,28.0,22.0,88.59999999999998,265.79999999999995,90.23333333333333,541.4,88.26666666666667,1059.2,29.0,87.0,28.166666666666668,169.0,29.5,354.0,3265.19,9795.57,3566.2549999999997,21397.53,4802.691666666667,57632.299999999996,1413.0,4239.0,1406.6666666666667,8440.0,1320.5833333333333,15847.0,90.4
32,8819.12,486.67,56326.59375,68781.9375,0,0,1358.0,17391.0,15717.0,90.4,2012-12-01,88.6,87.6,92.5,86.5,15416.0,15248.0,15983.0,15341.0,34.0,33.0,27.0,31.0,87.76666666666665,263.29999999999995,89.89999999999999,539.4,88.39999999999999,1060.8,30.333333333333332,91.0,29.166666666666668,175.0,30.5,366.0,3692.0833333333335,11076.25,3861.9599999999996,23171.76,3824.8333333333335,45898.0,1400.3333333333333,4201.0,1408.6666666666667,8452.0,1342.25,16107.0,83.8
47,1152.58,702.68,46013.97872340425,28105.36170212766,0,0,1318.0,17823.0,14934.0,83.8,2013-01-01,90.4,87.1,92.5,85.6,15717.0,15153.0,15991.0,14865.0,32.0,24.0,27.0,28.0,88.7,266.1,89.55,537.3,88.72500000000001,1064.7,30.0,90.0,30.0,180.0,30.583333333333332,367.0,4243.7266666666665,12731.18,4612.825,27676.95,3823.751666666667,45885.020000000004,1383.3333333333333,4150.0,1400.1666666666667,8401.0,1357.3333333333333,16288.0,81.6
43,2426.98,2206.1,82883.48837209302,66799.53488372093,0,1,1332.0,17814.0,14542.0,81.6,2013-02-01,83.8,88.6,91.1,86.5,14934.0,15416.0,15679.0,15019.0,47.0,34.0,30.0,32.0,87.60000000000001,262.8,88.09999999999998,528.5999999999999,88.57499999999999,1062.8999999999999,37.666666666666664,113.0,33.333333333333336,200.0,32.166666666666664,386.0,4096.77,12290.310000000001,3680.980000000001,22085.880000000005,3621.8025000000002,43461.630000000005,1353.6666666666667,4061.0,1383.3333333333333,8300.0,1366.5,16398.0,83.7
26,34831.6,9006.199999999999,322379.1153846154,1785436.6923076925,1,0,1339.0,17814.0,14907.0,83.7,2013-03-01,81.6,90.4,87.6,85.6,14542.0,15717.0,15248.0,14783.0,43.0,32.0,33.0,34.0,85.26666666666667,255.8,86.51666666666667,519.1,88.16666666666667,1058.0,40.666666666666664,122.0,35.5,213.0,33.083333333333336,397.0,4132.893333333333,12398.68,3912.488333333334,23474.930000000004,3515.3333333333335,42184.0,1336.0,4008.0,1368.1666666666667,8209.0,1372.4166666666667,16469.0,85.8
39,337.56,245.25,127124.84615384616,201293.5128205128,0,0,1374.0,17814.0,15282.0,85.8,2013-04-01,83.7,83.8,87.1,86.6,14907.0,14934.0,15153.0,14952.0,26.0,47.0,24.0,38.0,83.03333333333333,249.1,85.86666666666666,515.1999999999999,88.00833333333333,1056.1,38.666666666666664,116.0,34.333333333333336,206.0,32.416666666666664,389.0,12803.720000000001,38411.16,8523.723333333333,51142.340000000004,6227.408333333333,74728.9,1329.6666666666667,3989.0,1356.5,8139.0,1375.0833333333333,16501.0,88.2
47,3430.1400000000003,2721.46,56620.21276595745,217100.6170212766,0,0,1407.0,17815.0,15714.0,88.2,2013-05-01,85.8,81.6,88.6,90.6,15282.0,14542.0,15416.0,15657.0,39.0,43.0,34.0,28.0,83.7,251.10000000000002,85.64999999999999,513.9,87.94166666666666,1055.3,36.0,108.0,36.833333333333336,221.0,32.5,390.0,12532.046666666663,37596.13999999999,8314.408333333335,49886.450000000004,5940.331666666666,71283.98,1348.3333333333333,4045.0,1351.0,8106.0,1378.8333333333333,16546.0,91.6
29,5048.93,1759.2,13103.896551724138,42783.96551724138,0,0,1404.0,17815.0,16313.0,91.6,2013-06-01,88.2,83.7,90.4,92.5,15714.0,14907.0,15717.0,15983.0,47.0,26.0,32.0,27.0,85.89999999999999,257.7,85.58333333333333,513.5,87.74166666666667,1052.9,37.333333333333336,112.0,39.0,234.0,34.083333333333336,409.0,12866.433333333332,38599.299999999996,8499.663333333334,50997.98,6180.811666666667,74169.74,1373.3333333333333,4120.0,1354.6666666666667,8128.0,1381.6666666666667,16580.0,92.5
